_id,Anio,Mes,Semana,Fecha inicio,Fecha termino,ID region,Region,Sector,Tipo de punto monitoreo,Grupo,Producto,Unidad,Precio minimo,Precio maximo,Precio promedio
1,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Carnicería,Carne bovina,Abastero,$/kilo,,,"4699,000000"
2,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Carnicería,Carne bovina,Asado Carnicero,$/kilo,,,"3999,000000"
3,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Carnicería,Carne bovina,Asiento,$/kilo,,,"4799,000000"
4,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Carnicería,Carne bovina,Huachalomo,$/kilo,,,"3799,000000"
5,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Carnicería,Carne bovina,Lomo Liso,$/kilo,,,"5799,000000"
6,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Carnicería,Carne bovina,Lomo Vetado,$/kilo,,,"5799,000000"
7,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Carnicería,Carne bovina,Posta Negra,$/kilo,,,"4599,000000"
8,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Carnicería,Carne bovina,Posta Paleta,$/kilo,,,"4599,000000"
9,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Carnicería,Carne bovina,Posta Rosada,$/kilo,,,"4599,000000"
10,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Carnicería,Carne bovina,Sobrecostilla,$/kilo,,,"3799,000000"
11,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Carnicería,Carne de Cerdo - Ave - Cordero,Cerdo Costillar,$/kilo,,,"2499,000000"
12,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Carnicería,Carne de Cerdo - Ave - Cordero,Pollo Pechuga,$/kilo,,,"2299,000000"
13,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Frutas,Cereza|Van|Primera,$/kilo,,,"500,000000"
14,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Frutas,Durazno|Sin especificar|Primera,$/kilo,,,"300,000000"
15,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Frutas,Limón|Sin especificar|1a plateado,$/kilo,,,"300,000000"
16,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Frutas,Manzana|Granny Smith|Primera,$/kilo,,,"400,000000"
17,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Frutas,Naranja|Navel Late|Primera,$/kilo,,,"250,000000"
18,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Frutas,Nectarín|Super Queen|Segunda,$/kilo,,,"400,000000"
19,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Frutas,Palta|Hass|Primera,$/kilo,,,"1500,000000"
20,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Frutas,Plátano|Sin especificar|Primera,$/kilo,,,"300,000000"
21,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Ajo|Chino|Primera,$/unidad,,,"67,000000"
22,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Cebolla|Valenciana|1a (cosecha),$/unidad,,,"150,000000"
23,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Choclo|Choclero|Primera,$/unidad,,,"200,000000"
24,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Lechuga|Conconina(o)|Primera,$/unidad,,,"500,000000"
25,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Lechuga|Escarola|Primera,$/unidad,,,"500,000000"
26,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Melón|Calameño|Primera,$/unidad,,,"500,000000"
27,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Melón|Tuna|Primera,$/unidad,,,"600,000000"
28,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Papa|Desirée|Primera,$/kilo,,,"600,000000"
29,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Pepino ensalada|Sin especificar|Primera,$/unidad,,,"200,000000"
30,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Pimiento|Cuatro cascos verde|Primera,$/unidad,,,"200,000000"
31,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Poroto granado|Sin especificar|Primera,$/kilo,,,"600,000000"
32,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Poroto verde|Magnum|Primera,$/kilo,,,"800,000000"
33,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Repollo|Crespo record|Primera,$/unidad,,,"600,000000"
34,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Sandia|Royal Sweet|Primera,$/unidad,,,"1500,000000"
35,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Tomate|Larga vida|Primera,$/kilo,,,"900,000000"
36,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Zanahoria|Sin especificar|Primera,$/unidad,,,"50,000000"
37,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Zapallo italiano|Sin especificar|Primera,$/unidad,,,"100,000000"
38,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Feria libre,Hortalizas,Zapallo|Camote|1a nueva(o),$/kilo,,,"500,000000"
39,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Carne bovina,Huachalomo,$/kilo,,,"2990,000000"
40,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Carne bovina,Lomo Liso,$/kilo,,,"4990,000000"
41,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Carne bovina,Lomo Vetado,$/kilo,,,"4990,000000"
42,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Carne bovina,Posta Paleta,$/kilo,,,"2990,000000"
43,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Carne bovina,Posta Rosada,$/kilo,,,"2990,000000"
44,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Carne bovina,Sobrecostilla,$/kilo,,,"2890,000000"
45,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Carne de Cerdo - Ave - Cordero,Cerdo Costillar,$/kilo,,,"2490,000000"
46,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Carne de Cerdo - Ave - Cordero,Pollo Pechuga,$/kilo,,,"2290,000000"
47,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Frutas,Cereza|Van|Primera,$/kilo,,,"890,000000"
48,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Frutas,Durazno|Sin especificar|Primera,$/kilo,,,"799,000000"
49,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Frutas,Limón|Sin especificar|1a plateado,$/kilo,,,"399,000000"
50,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Frutas,Manzana|Granny Smith|Primera,$/kilo,,,"759,000000"
51,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Frutas,Naranja|Navel Late|Primera,$/kilo,,,"499,000000"
52,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Frutas,Nectarín|Super Queen|Segunda,$/kilo,,,"799,000000"
53,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Frutas,Palta|Hass|Primera,$/kilo,,,"1890,000000"
54,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Frutas,Plátano|Sin especificar|Primera,$/kilo,,,"549,000000"
55,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Ajo|Chino|Primera,$/unidad,,,"233,000000"
56,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Cebolla|Valenciana|1a (cosecha),$/unidad,,,"166,000000"
57,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Choclo|Choclero|Primera,$/unidad,,,"299,000000"
58,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Lechuga|Conconina(o)|Primera,$/unidad,,,"579,000000"
59,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Lechuga|Escarola|Primera,$/unidad,,,"589,000000"
60,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Melón|Calameño|Primera,$/unidad,,,"790,000000"
61,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Melón|Tuna|Primera,$/unidad,,,"790,000000"
62,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Papa|Desirée|Primera,$/kilo,,,"999,000000"
63,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Pepino ensalada|Sin especificar|Primera,$/unidad,,,"299,000000"
64,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Pimiento|Cuatro cascos verde|Primera,$/unidad,,,"199,000000"
65,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Poroto granado|Sin especificar|Primera,$/kilo,,,"1490,000000"
66,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Poroto verde|Magnum|Primera,$/kilo,,,"1090,000000"
67,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Repollo|Crespo record|Primera,$/unidad,,,"749,000000"
68,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Sandia|Royal Sweet|Primera,$/unidad,,,"2990,000000"
69,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Tomate|Larga vida|Primera,$/kilo,,,"999,000000"
70,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Zanahoria|Sin especificar|Primera,$/unidad,,,"87,000000"
71,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Zapallo italiano|Sin especificar|Primera,$/unidad,,,"199,000000"
72,2009,1,1,2008-12-29,2009-01-02,13,Región Metropolitana de Santiago,Norte,Supermercado,Hortalizas,Zapallo|Camote|1a nueva(o),$/kilo,,,"799,000000"
